	query	seed_ortholog	evalue	score	predicted_name	go_terms	kegg_ko	bigg_reactions	tax_scope	eggnog_ogs	best_og	cog_cat	eggnog_hmmm_desc	cog_category_full
10	PB.26.1|1011_5|path3:105-1807(-)|HQ_sampleytBMi1Qu|cb16611_c274597/f110p29/1704	7227.FBpp0100182	4.4999999999999996e-69	267.7		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03883		artNOG[6]	0390M@artNOG,09Z7N@biNOG,0SW8V@inNOG,0VA34@meNOG,12RS9@opiNOG,COG1009@NOG,KOG4668@euNOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
11	PB.26.2|1011_5|path3:501-984(-)|HQ_sampleytBMi1Qu|cb14387_c198/f2p0/478	13037.EHJ75141	3.9e-18	96.7		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03883		artNOG[6]	0390M@artNOG,09Z7N@biNOG,0SW8V@inNOG,0VA34@meNOG,12RS9@opiNOG,COG1009@NOG,KOG4668@euNOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
12	PB.26.3|1011_5|path3:616-984(-)|HQ_sampleytBMi1Qu|cb14387_c157/f4p0/378	13037.EHJ75141	4e-18	96.3		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03883		artNOG[6]	0390M@artNOG,09Z7N@biNOG,0SW8V@inNOG,0VA34@meNOG,12RS9@opiNOG,COG1009@NOG,KOG4668@euNOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
13	PB.32.1|1018_0|path0:1-1813(+)|HQ_sampleytBMi1Qu|cb4992_c0/f2p0/1836	6945.ISCW024278-PA	4.5999999999999994e-67	261.2			K13289,K16296,K16297		euNOG[57]	COG2939@NOG,KOG1282@euNOG	NA|NA|NA	O	Carboxypeptidase	Post-translational modification, protein turnover, chaperone functions
14	PB.32.2|1018_0|path0:1-2226(+)|HQ_sampleytBMi1Qu|cb4992_c1/f2p1/2289	6945.ISCW022356-PA	9.999999999999998e-77	293.5	CBP1	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K16296		euNOG[57]	COG2939@NOG,KOG1282@euNOG	NA|NA|NA	O	Carboxypeptidase	Post-translational modification, protein turnover, chaperone functions
15	PB.33.1|1019_0|path0:1-1755(+)|HQ_sampleytBMi1Qu|cb7339_c0/f12p3/1836	6945.ISCW005257-PA	4.5e-54	218.0					artNOG[6]	03A87@artNOG,09TES@biNOG,0V4DW@meNOG,12PGP@opiNOG,COG5048@NOG,KOG1721@euNOG	NA|NA|NA	K	Zinc finger, C2H2 type	Transcription
16	PB.33.2|1019_0|path0:1-1469(+)|HQ_sampleytBMi1Qu|cb7339_c1/f6p2/1526	6945.ISCW005257-PA	3.7e-54	218.0					artNOG[6]	03A87@artNOG,09TES@biNOG,0V4DW@meNOG,12PGP@opiNOG,COG5048@NOG,KOG1721@euNOG	NA|NA|NA	K	Zinc finger, C2H2 type	Transcription
17	PB.35.1|102_0|path0:1-3171(+)|HQ_sampleytBMi1Qu|cb16611_c49653/f5p5/2962	6945.ISCW013570-PA	2.7e-37	162.9	MAX	GO:0000122,GO:0001071,GO:0003674,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045892,GO:0045934,GO:0046982,GO:0046983,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2000113,GO:2001141	K04453		artNOG[6]	0371T@artNOG,0A5S4@biNOG,0VKAJ@meNOG,11V1C@NOG,13UDN@opiNOG,KOG2483@euNOG	NA|NA|NA	K	Helix-loop-helix DNA-binding domain	Transcription
18	PB.36.1|1021_0|path0:1-1824(+)|HQ_sampleytBMi1Qu|cb16611_c276404/f36p10/1834	6945.ISCW023613-PA	1.5999999999999997e-72	279.3			K01049,K01050		euNOG[57]	COG2272@NOG,KOG4389@euNOG	NA|NA|NA	T	ACEtylcholinesterase	Signal Transduction
19	PB.41.2|1026_0|path0:1-1792(+)|HQ_sampleytBMi1Qu|cb16611_c24296/f3p3/1831	6945.ISCW009124-PA	1.8e-60	239.2		GO:0008150,GO:0032502,GO:0040007,GO:0044699,GO:0044767,GO:0048589			artNOG[6]	034X4@artNOG,09Y8D@biNOG,0V95X@meNOG,0XNQX@NOG,12T7Y@opiNOG,KOG1675@euNOG	NA|NA|NA	S	Cyclin	Function Unknown
20	PB.42.2|1027_0|path0:1-1805(+)|HQ_sampleytBMi1Qu|cb16611_c137313/f15p4/1731	6945.ISCW021842-PA	1.9999999999999993e-128	464.9			K17233		artNOG[6]	03A9W@artNOG,09TEI@biNOG,0V4DQ@meNOG,0ZP7G@NOG,13MJG@opiNOG,KOG3921@euNOG	NA|NA|NA	U	Inherit from biNOG: dual oxidase maturation factor	Intracellular trafficking and secretion
21	PB.48.1|1031_0|path2:1-1988(+)|HQ_sampleytBMi1Qu|cb16131_c9/f2p0/2056	6945.ISCW022782-PA	6.999999999999999e-101	373.6		GO:0001952,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0008092,GO:0008150,GO:0010810,GO:0015629,GO:0030155,GO:0042805,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051371,GO:0051393,GO:0065007	K19867		artNOG[6]	0326D@artNOG,09U1B@biNOG,0V502@meNOG,0XRD4@NOG,12NGZ@opiNOG,KOG1703@euNOG	NA|NA|NA	T, Z	LIM domain	Signal Transduction; Cytoskeleton
22	PB.51.1|1033_0|path1:1-1657(+)|HQ_sampleytBMi1Qu|cb15562_c12/f4p0/1627	6945.ISCW010043-PA	1.1999999999999995e-239	834.3	ZW	GO:0003674,GO:0003824,GO:0004345,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006740,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009117,GO:0009987,GO:0016052,GO:0016491,GO:0016614,GO:0016616,GO:0019318,GO:0019320,GO:0019362,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044710,GO:0044723,GO:0044724,GO:0046365,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072524,GO:1901360,GO:1901564,GO:1901575	K00036		artNOG[6]	032RB@artNOG,0A1KP@biNOG,0VCGA@meNOG,12S8B@opiNOG,COG0364@NOG,KOG0563@euNOG	NA|NA|NA	G	glucose-6-phosphate 1-dehydrogenase	Carbohydrate metabolism and transport
23	PB.52.1|1033_0|path2:1-1871(+)|HQ_sampleytBMi1Qu|cb15562_c9/f5p3/1924	6945.ISCW010043-PA	1.4999999999999992e-262	910.6	ZW	GO:0003674,GO:0003824,GO:0004345,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006740,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009117,GO:0009987,GO:0016052,GO:0016491,GO:0016614,GO:0016616,GO:0019318,GO:0019320,GO:0019362,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044710,GO:0044723,GO:0044724,GO:0046365,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072524,GO:1901360,GO:1901564,GO:1901575	K00036		artNOG[6]	032RB@artNOG,0A1KP@biNOG,0VCGA@meNOG,12S8B@opiNOG,COG0364@NOG,KOG0563@euNOG	NA|NA|NA	G	glucose-6-phosphate 1-dehydrogenase	Carbohydrate metabolism and transport
24	PB.54.1|1035_0|path0:1-1851(+)|HQ_sampleytBMi1Qu|cb7129_c2/f2p3/1884	6945.ISCW017160-PA	2.6e-09	69.3					euNOG[57]	0XW69@NOG,KOG3764@euNOG	NA|NA|NA	U	solute carrier family 18 (Vesicular	Intracellular trafficking and secretion
25	PB.56.1|1038_0|path1:1-1785(+)|HQ_sampleytBMi1Qu|cb7667_c0/f31p9/1785	28377.ENSACAP00000006357	1.2999999999999997e-127	462.2	DDX52	GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003729,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006364,GO:0006396,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022613,GO:0031974,GO:0031981,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0042254,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070013,GO:0070035,GO:0071704,GO:0071840,GO:0072521,GO:0072523,GO:0090304,GO:0097159,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K14779		meNOG[21]	09TD2@biNOG,0DPCU@chorNOG,0V4C5@meNOG,0XQS8@NOG,12N68@opiNOG,1CZYT@veNOG,KOG0344@euNOG	NA|NA|NA	A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	RNA processing and modification
26	PB.62.1|1043_0|path0:1-2313(+)|HQ_sampleytBMi1Qu|cb224_c3/f2p0/2382	7159.AAEL000489-PA	3.599999999999999e-72	278.5	PAK3	GO:0000768,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004702,GO:0004871,GO:0005057,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006949,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007165,GO:0007275,GO:0007517,GO:0007519,GO:0007520,GO:0008150,GO:0008152,GO:0009653,GO:0009888,GO:0009987,GO:0014706,GO:0014902,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023014,GO:0023052,GO:0030029,GO:0030036,GO:0030154,GO:0032501,GO:0032502,GO:0035914,GO:0036211,GO:0042692,GO:0043170,GO:0043412,GO:0043933,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044700,GO:0044707,GO:0044763,GO:0044767,GO:0048513,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051146,GO:0051716,GO:0060089,GO:0060537,GO:0060538,GO:0061061,GO:0065007,GO:0071704,GO:0071822,GO:0071840	K04409		artNOG[6]	033CY@artNOG,09VU2@biNOG,0SQ59@inNOG,0V6ST@meNOG,0XP4K@NOG,12NMX@opiNOG,KOG0578@euNOG	NA|NA|NA	T	P21-Rho-binding domain	Signal Transduction
