	query	seed_ortholog	evalue	score	predicted_name	go_terms	kegg_ko	bigg_reactions	tax_scope	eggnog_ogs	best_og	cog_cat	eggnog_hmmm_desc	cog_category_full
10	PB.23.1|1020_0|path2:1-3407(+)|HQ_samplekLafXsSM|cb3267_c25863/f2p11/3483	306902.XP_002616000.1	1.7999999999999997e-83	316.6					opiNOG[43]	0J322@euNOG,0Y0AS@NOG,13Z0A@opiNOG	NA|NA|NA			
11	PB.24.1|1020_0|path2:1-3407(-)|HQ_samplekLafXsSM|cb3267_c25679/f2p1/3451	7029.ACYPI008036-PA	1.2999999999999997e-51	210.7					artNOG[6]	03AX3@artNOG,0AA5X@biNOG,0J2GY@euNOG,0SXIY@inNOG,0VM3I@meNOG,12AIG@NOG,13Y8S@opiNOG	NA|NA|NA			
12	PB.25.1|1020_0|path8:1-1887(+)|HQ_samplekLafXsSM|cb3267_c85345/f2p0/1942	148305.A4R4Q4	1.5e-23	116.7	ACT		K05692		euNOG[57]	COG5277@NOG,KOG0676@euNOG	NA|NA|NA	Z	Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells	Cytoskeleton
13	PB.28.1|102_0|path2:1-3426(+)|HQ_samplekLafXsSM|cb2132_c3/f2p1/3528	6945.ISCW020596-PA	1.2999999999999994e-248	865.1	UGP	GO:0003674,GO:0003824,GO:0003983,GO:0008150,GO:0008152,GO:0016740,GO:0016772,GO:0016779,GO:0051748,GO:0070569	K00963		artNOG[6]	0343N@artNOG,09VTC@biNOG,0V6S3@meNOG,12RPI@opiNOG,COG4284@NOG,KOG2638@euNOG	NA|NA|NA	G	UTP--glucose-1-phosphate uridylyltransferase	Carbohydrate metabolism and transport
14	PB.35.1|1024_0|path1:85-1862(-)|HQ_samplekLafXsSM|cb3267_c85116/f7p0/1816	35128.Thaps260868	1.3e-21	110.2					euNOG[57]	0J5Z2@euNOG,0Y16S@NOG	NA|NA|NA			
15	PB.37.1|1026_0|path0:1-1827(+)|HQ_samplekLafXsSM|cb3308_c1/f6p3/1920	6945.ISCW023288-PA	2.0999999999999988e-256	890.2		GO:0003674,GO:0003824,GO:0004029,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006090,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0031974,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044710,GO:0055114,GO:0070013,GO:0071704	K00128		artNOG[6]	03353@artNOG,09TK5@biNOG,0V4J5@meNOG,12PWF@opiNOG,COG1012@NOG,KOG2450@euNOG	NA|NA|NA	C	Aldehyde dehydrogenase	Energy production and conversion
16	PB.38.1|1027_0|path0:1-1839(+)|HQ_samplekLafXsSM|cb3267_c45913/f4p1/1918	6945.ISCW019966-PA	1.1e-84	319.7	BS	GO:0001708,GO:0001763,GO:0002009,GO:0002164,GO:0002165,GO:0002168,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0007275,GO:0007424,GO:0007430,GO:0007444,GO:0007472,GO:0007475,GO:0007476,GO:0007552,GO:0007560,GO:0008134,GO:0008150,GO:0008586,GO:0008587,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0030154,GO:0030431,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0033613,GO:0035107,GO:0035114,GO:0035120,GO:0035153,GO:0035154,GO:0035209,GO:0035220,GO:0035239,GO:0035295,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0045165,GO:0045893,GO:0045935,GO:0045944,GO:0048513,GO:0048518,GO:0048522,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048754,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0060429,GO:0060446,GO:0060541,GO:0060562,GO:0061138,GO:0065007,GO:0080090,GO:2000112,GO:2001141	K04378		artNOG[6]	033UE@artNOG,0A37J@biNOG,0VE2B@meNOG,13JK0@opiNOG,COG5068@NOG,KOG0015@euNOG	NA|NA|NA	K	MADS	Transcription
17	PB.39.2|1028_0|path0:1-1913(+)|HQ_samplekLafXsSM|cb3267_c46256/f3p1/1822	6945.ISCW011085-PA	6.299999999999999e-117	426.8			K17824		artNOG[6]	0326J@artNOG,09W0S@biNOG,0V6Z4@meNOG,0XTIJ@NOG,12PMI@opiNOG,KOG3077@euNOG	NA|NA|NA	D	Pfam:DUF298	Cell cycle control and mitosis
18	PB.39.3|1028_0|path0:1-1911(+)|HQ_samplekLafXsSM|cb3267_c65882/f3p2/1797	6945.ISCW011085-PA	1.6e-08	66.6			K17824		artNOG[6]	0326J@artNOG,09W0S@biNOG,0V6Z4@meNOG,0XTIJ@NOG,12PMI@opiNOG,KOG3077@euNOG	NA|NA|NA	D	Pfam:DUF298	Cell cycle control and mitosis
19	PB.39.4|1028_0|path0:1-2849(+)|HQ_samplekLafXsSM|cb3267_c81898/f7p4/2846	6945.ISCW011085-PA	1.4999999999999996e-93	349.7			K17824		artNOG[6]	0326J@artNOG,09W0S@biNOG,0V6Z4@meNOG,0XTIJ@NOG,12PMI@opiNOG,KOG3077@euNOG	NA|NA|NA	D	Pfam:DUF298	Cell cycle control and mitosis
20	PB.40.1|1029_0|path0:1-4075(+)|HQ_samplekLafXsSM|cb3267_c54406/f2p1/4184	6945.ISCW013985-PA	1.2999999999999998e-85	323.9	NUP98	GO:0003674,GO:0005215,GO:0005487,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0006605,GO:0006606,GO:0006810,GO:0006886,GO:0006897,GO:0006909,GO:0006913,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007184,GO:0008104,GO:0008150,GO:0009987,GO:0012505,GO:0015031,GO:0016020,GO:0016021,GO:0016192,GO:0016482,GO:0017038,GO:0019827,GO:0023052,GO:0030154,GO:0030718,GO:0031224,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033365,GO:0034504,GO:0034613,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044446,GO:0044464,GO:0044613,GO:0044699,GO:0044700,GO:0044707,GO:0044744,GO:0044763,GO:0044765,GO:0044767,GO:0045184,GO:0045595,GO:0045596,GO:0046907,GO:0046930,GO:0048468,GO:0048519,GO:0048523,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051169,GO:0051170,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051716,GO:0065007,GO:0070727,GO:0071702	K14297		artNOG[6]	0336S@artNOG,09VJP@biNOG,0V6IU@meNOG,0XPV4@NOG,12PCB@opiNOG,KOG0845@euNOG	NA|NA|NA	U, Y	Nuclear pore complex protein nup98	Intracellular trafficking and secretion; Nuclear structure
21	PB.41.1|103_0|path0:1-3580(+)|HQ_samplekLafXsSM|cb1940_c0/f22p7/3649	9739.ENSTTRP00000007813	3.799999999999999e-190	671.0	PPP1CB		K06269		maNOG[6]	0B3E6@biNOG,0E7N3@chorNOG,0IN85@euNOG,0V2RI@maNOG,0WFT0@meNOG,0XPVF@NOG,13BDY@opiNOG,1DENC@veNOG	NA|NA|NA	T	protein phosphatase 1, catalytic subunit, beta isozyme	Signal Transduction
22	PB.42.1|1031_0|path0:1-1840(+)|HQ_samplekLafXsSM|cb5816_c1/f3p0/1911	9031.ENSGALP00000001143	1.6999999999999999e-59	236.1	GABPB2	GO:0000123,GO:0000975,GO:0001067,GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005671,GO:0006325,GO:0006338,GO:0006355,GO:0006357,GO:0006464,GO:0006473,GO:0006475,GO:0006996,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0016568,GO:0016569,GO:0016570,GO:0016573,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032991,GO:0036211,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043412,GO:0043543,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044763,GO:0045893,GO:0045935,GO:0045944,GO:0046982,GO:0046983,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051276,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0097159,GO:1901363,GO:2000112,GO:2001141	K09454		meNOG[21]	09W0R@biNOG,0DY20@chorNOG,0IE1V@euNOG,0VA65@meNOG,133ZT@opiNOG,1D6ZQ@veNOG,COG0666@NOG	NA|NA|NA	K	Ankyrin repeat	Transcription
23	PB.43.1|1031_0|path1:1-2100(+)|HQ_samplekLafXsSM|cb5816_c2/f2p0/2141	9031.ENSGALP00000001143	1.9e-59	236.1	GABPB2	GO:0000123,GO:0000975,GO:0001067,GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005671,GO:0006325,GO:0006338,GO:0006355,GO:0006357,GO:0006464,GO:0006473,GO:0006475,GO:0006996,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0016568,GO:0016569,GO:0016570,GO:0016573,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032991,GO:0036211,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0043412,GO:0043543,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044763,GO:0045893,GO:0045935,GO:0045944,GO:0046982,GO:0046983,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051276,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0097159,GO:1901363,GO:2000112,GO:2001141	K09454		meNOG[21]	09W0R@biNOG,0DY20@chorNOG,0IE1V@euNOG,0VA65@meNOG,133ZT@opiNOG,1D6ZQ@veNOG,COG0666@NOG	NA|NA|NA	K	Ankyrin repeat	Transcription
